Intiulé$Description$URL de la propriété sur data.biblissima
date_mort_P62$Date de mort. Pour les dates incertaines de type 13..? ou 132.?, on indique la valeur numérique de la fin du siècle (1399) ou de la décennie (1329) et on complète les colonnes avec les propriétés qui qualifient l'incertitude.$https://data.biblissima.fr/entity/P62
date_mort_P62_qualificatif$"Contient la valeur Property:P73 (https://data.biblissima.fr/entity/P73) qui correspond à ""pas après l'année exprimée en date_mort_P62""."$
date_mort_P62_certitude_P38$Contient la valeur Q174 qui indique la nature incertaine de la valeur exprimée dans la colonne date_mort_P62.$https://data.biblissima.fr/entity/P38
date_naissance_P57$Date de naissance. Pour les dates incertaines de type 13..? ou 132.?, on indique la valeur numérique du début du siècle (1300) ou de la décennie (1320) et on complète les colonnes avec les propriétés qui qualifient l'incertitude.$https://data.biblissima.fr/entity/P57
date_naissance_P57_qualificatif$"Contient la valeur Property:P72  (https://data.biblissima.fr/entity/P72) qui correspond à ""pas avant l'année exprimée en date_naissance_P57""."$
date_naissance_P57_certitude_P38$Contient la valeur Q174 qui indique la nature incertaine de la valeur exprimée dans la colonne date_naissance_P57.$https://data.biblissima.fr/entity/P38
dnb_P111$Identifiant de l'entité dans https://d-nb.info/ (fichier d'autorité de la Deutsche Nationalbibliothek).$https://data.biblissima.fr/entity/P111
entite_type_P2$Identifiant du type de l'entité dans les référentiels Biblissima (personne = Q168, organisation = Q167, famille = Q32795, lieu géographique = Q26719 etc.).$https://data.biblissima.fr/entity/P2
etat_conservation_P281$Identifiant des référentiels Biblissima qui spécifie l'état de conservation d'un document (attesté = Q120867, dispersé = Q279264, fragment = Q312066 etc.).$https://data.biblissima.fr/entity/P281
geonames_P123$Identifiant de l'entité dans https://www.geonames.org/ (base de données géographiques GeoNames).$https://data.biblissima.fr/entity/P123
geo_type_Q26718$Identifiant du type d'entité géographique dans les référentiels Biblissima qui vient compléter la valeur entite_type_P2 (lieu habité = Q26751, région historique = Q26768 etc.).$
id_bbma_P129$Identifiant de l'entité dans le portail Biblissima https://portail.biblissima.fr/. Si l'entité n'a pas d'équivalent dans le portail, sa page sera créée lors de l'import des données dans le portail et son identifiant renseigné ensuite dans les référentiels Biblissima par l'équipe Portail.$https://data.biblissima.fr/entity/P129
lang$Code ISO 639-1 de la langue de l'alias.$
langue_P355$Identifiant de la langue d'expression d'une œuvre dans les référentiels Biblissima.$https://data.biblissima.fr/entity/P355
latitude_P176$Latitude du lieu géographique (récupérable de GeoNames, du fichier d'autorité de la BnF ou un autre référentiel de données géographiques).$https://data.biblissima.fr/entity/P176
lc_P110$Identifiant de l'entité dans https://id.loc.gov/ (Linked Data Service de la Library of Congress).$https://data.biblissima.fr/entity/P110
localisation_P201$Identifiant du lieu associé à une organisation dans les référentiels Biblissima.$https://data.biblissima.fr/entity/P201
longitude_P177$Longitude du lieu géographique (récupérable de GeoNames, du fichier d'autorité de la BnF ou un autre référentiel de données géographiques).$https://data.biblissima.fr/entity/P177
manifest_url_P196$Url du manifest IIIF associé à la numérisation d'un document.$https://data.biblissima.fr/entity/P196
manifest_type_P279$Identifiant des référentiels Biblissima qui spécifie la nature de la numérisation décrite dans le manifest IIIF (reproduction partielle = Q120864, intégrale = Q120863, décor / enluminure = Q120862, reliure = Q120861 etc.).$https://data.biblissima.fr/entity/P279
notes_bbma_P130$Notes, remarques ou tout autre complément jugé utile pour l'identification de l'entité. Les renvois à des références bibliographiques doivent être repris dans la colonne biblio_P379.$https://data.biblissima.fr/entity/P130
numerisation_P197$Url de la numérisation du document.$https://data.biblissima.fr/entity/P197
numerisation_type_P279$Identifiant des référentiels Biblissima qui spécifie la nature de la numérisation (reproduction partielle = Q120864, intégrale = Q120863, décor / enluminure = Q120862, reliure = Q120861 etc.).$https://data.biblissima.fr/entity/P279
pages_P381$Précise les pages concernant l'occurrence d'une entité Biblissima dans une référence bibliographique. Si l'entité fait l'objet de la totalité d'un article ou monographie, il n'est pas utile d'indiquer des éléments de pagination.$https://data.biblissima.fr/entity/P381
pays_P172$Identifiant du pays auquel est rattaché un lieu géographique dans les référentiels Biblissima.$https://data.biblissima.fr/entity/P172
pref_bbma$Forme préférentielle du nom de l'entité. La syntaxe de la forme suit généralement les pratiques de catalogage de la Bibliothèque nationale de France qui sont décrites sur le site https://kitcat.bnf.fr/. Dans le cas des organisations, le lieu de l'organisation est placé devant son nom et séparé par un point (ex. Jumièges. Abbaye Saint-Pierre).$
sexe_P95$Identifiant du sexe de la personne dans les référentiels Biblissima (masculin = Q169, féminin = Q170).$https://data.biblissima.fr/entity/P95
source_coord_P168$Url du référentiel géographique dont sont récupérées les coordonnées.$https://data.biblissima.fr/entity/P168
url_autre$Url de l'entité dans divers fichiers d'autorité ou bases scientifiques. Le format des urls peut être retrouvé dans la liste des propriétés https://data.biblissima.fr/w/Sp%C3%A9cial:ListProperties. Si la ressource n'y figure pas, une propriété correspondante sera ajoutée lors de l'import des données dans les référentiels Biblissima.$
wikidata_P112$QID de l'entité dans https://www.wikidata.org/ (plateforme sémantique des projets Wikimedia).$https://data.biblissima.fr/entity/P112
